procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 781665260  65496 6550120    0    0   617 16597 4889    0  2  0 98  0  0  0
49  0      0 781587900  65496 6550128    0    0     0     0 35167  888 36  0 64  0  0  0
48  0      0 781604284  65496 6550140    0    0     0     0 48182  291 50  0 50  0  0  0
 0  0      0 781686952  65496 6550148    0    0     0     0 43469  396 43  0 57  0  0  0
 1  0      0 781703444  65496 6550160    0    0     0     0  375  127  0  0 100  0  0  0
 1  0      0 781711508  65496 6550172    0    0     0     0  120   30  0  0 100  0  0  0
 0  0      0 781719588  65496 6550188    0    0     0     0  276  320  0  0 100  0  0  0
 0  0      0 781735972  65496 6550200    0    0     0     0   61   24  0  0 100  0  0  0
 0  0      0 781735988  65496 6550208    0    0     0     0   83   65  0  0 100  0  0  0
 0  0      0 781752372  65496 6550216    0    0     0     0   54   36  0  0 100  0  0  0
