Linux 6.17.0-1017-aws (ip-10-42-1-164) 	08/22/26 	_x86_64_	(96 CPU)

02:36:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:36:03      63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      66   92.93    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00    3.03
02:36:03      67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      71    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      83    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      94    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:03      95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:36:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:36:04     all    1.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.96
02:36:04       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:36:04      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
